Tournament,Date,Event,Rd,Aff,Neg,Decision
Crowe Warken Debates at Navy,1/17/2015,Open,Qtrs,James Madison BW,Boston College KC,"AFF																				 	James Madi on a 								3-0"
Crowe Warken Debates at Navy,1/17/2015,JV,Finals,Rutgers-Newark RJ,West Virginia/CUNY FY,"AFF																				 	Rutgers-Ne on a 								2-1"
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,JV,1,Monmouth BR,James Madison CP,NEG
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,JV,2,Monmouth YG,United States Military CP,AFF
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,JV,3,James Madison MP,Miami CP,NEG
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,Nov,4,James Madison AH,Monmouth RK,AFF
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,JV,5,James Madison GH,United States Military RO,AFF
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,Nov,6,Boston College NJ,West Virginia GW,NEG
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,Nov,Octas,United States Military HG,James Madison MW,"NEG																				 	James Madi on a 								3-0"
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,Open,Semis,George Mason DM,West Virginia MO,"AFF																				 	West Virgi on a 								2-1"
Jacobsohn Memorial Mountaineer Debates WVU,11/14/2014,JV,Semis,George Mason GW,Miami CP,"AFF																				 	George Mas on a 								3-0"
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 2,James Madison LM,Towson TW,AFF
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 3,Pittsburgh BR,Michigan KK,AFF
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 4,Michigan KM,Concordia College SS,AFF
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 5,George Mason BO,Cornell KR,AFF
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 6,Rutgers-Newark HS,West Georgia GM,AFF
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 7,Minnesota WW,Texas KS,NEG
Harvard Debate Costume Contest and Tournament,10/25/2014,Open,Round 8,Pittsburgh CP,Trinity VY,AFF
James MadisonLBS Invitational,10/4/2014,JV,Rd1,Cornell RD,Liberty BC,AFF
James MadisonLBS Invitational,10/4/2014,Open,2,George Mason BO,James Madison MP,AFF
James MadisonLBS Invitational,10/4/2014,JV,Rd3,James Madison MP,Liberty KP,NEG
James MadisonLBS Invitational,10/4/2014,Open,4,George Washington TT,Liberty CS,NEG
James MadisonLBS Invitational,10/4/2014,Nov,Rd5,Liberty QW,James Madison SG,AFF
James MadisonLBS Invitational,10/4/2014,Nov,Rd 6,West Virginia WW,Liberty GS,AFF
James MadisonLBS Invitational,10/4/2014,Open,Octs,Liberty CS,Pittsburgh BR,"AFF																				 	Liberty CS on a 								3-0"
James MadisonLBS Invitational,10/4/2014,Open,Quarters,James Madison LM,George Mason BO,"AFF																				 	James Madi on a 								3-0"
James MadisonLBS Invitational,10/4/2014,Nov,Semis,Cornell KB,Liberty SY,"NEG																				 	Liberty SY on a 								2-1"
James MadisonLBS Invitational,10/4/2014,Open,Finals,James Madison LM,Rutgers-Newark HS,"AFF																				 	James Madi on a 								2-1"
68th National Debate Tournament in Indiana,3/28/2014,Open,2,West Ga AM,UMKC AF,NEG
68th National Debate Tournament in Indiana,3/28/2014,Open,3,Rutgers RS,UNT AK,AFF
68th National Debate Tournament in Indiana,3/28/2014,Open,4,Wake DL,Towson JR,NEG
68th National Debate Tournament in Indiana,3/28/2014,Open,5,Indiana PS,Dartmouth KS,NEG
CEDA Nats  Indiana,3/21/2014,,Rd 1,North Texas CS,CUNY JS,AFF
CEDA Nats  Indiana,3/21/2014,,Rs 2,Louisville LR,Rutgers-Newark HS,NEG
CEDA Nats  Indiana,3/21/2014,,Rd 3,Cornell RK,Louisville TW,AFF
CEDA Nats  Indiana,3/21/2014,,Rd 4,Puget Sound MD,George Mason BW,NEG
CEDA Nats  Indiana,3/21/2014,,Rd 5,United States Military LS,Liberty HM,NEG
CEDA Nats  Indiana,3/21/2014,,Rd 6,Bard College/San Diego State DN,Liberty CC,NEG
CEDA Nats  Indiana,3/21/2014,,Rd 7,United States Military CH,Wayne State NW,NEG
CEDA Nats  Indiana,3/21/2014,,Rd 8,Louisville BL,West Georgia AM,AFF
CEDA Nats  Indiana,3/21/2014,,Trip,West Georgia AM,Towson BU,"AFF																				 	West Georg on a 								2-1"
CEDA Nats  Indiana,3/21/2014,,Dbls,Louisville BL,Rutgers-Newark HS,"AFF																				 	Louisville on a 								4-1"
National Junior Varsity and Novice Championship at George Mason,3/8/2014,Nov,1,James Madison WP,Liberty KP,NEG
National Junior Varsity and Novice Championship at George Mason,3/8/2014,JV,2,Liberty CC,George Mason MT,AFF
National Junior Varsity and Novice Championship at George Mason,3/8/2014,JV,3,James Madison YP,West Virginia/New RT,NEG
National Junior Varsity and Novice Championship at George Mason,3/8/2014,JV,4,George Mason BK,Liberty MB,AFF
National Junior Varsity and Novice Championship at George Mason,3/8/2014,JV,5,Cornell LR,Miami GS,NEG
National Junior Varsity and Novice Championship at George Mason,3/8/2014,Nov,6,Boston College SP,West Virginia DE,AFF
National Junior Varsity and Novice Championship at George Mason,3/8/2014,JV,7,Liberty CS,United States Military HH,AFF
National Junior Varsity and Novice Championship at George Mason,3/8/2014,Nov,Octas,Liberty CW,George Mason KO,"NEG																				 	George Mas on a 								3-0"
National Junior Varsity and Novice Championship at George Mason,3/8/2014,Nov,Quarters,West Virginia FP,Miami PP,"AFF																				 	West Virgi on a 								3-0"
CEDA East Regionals at West Conn,2/22/2014,JV,JV 1,WCSU PW,Liberty CC,NEG
CEDA East Regionals at West Conn,2/22/2014,Nov,2-Nov,Liberty KP,WVU DE,NEG
CEDA East Regionals at West Conn,2/22/2014,Nov,3-Nov,WVU FP,Cornell AG,AFF
CEDA East Regionals at West Conn,2/22/2014,Nov,4-Nov,Liberty CW,CUNY DJ,AFF
CEDA East Regionals at West Conn,2/22/2014,JV,JV 5,USMA\New School OT,BC CT,AFF
CEDA East Regionals at West Conn,2/22/2014,JV,JV 6,Liberty CS,CUNY DL,AFF
CEDA East Regionals at West Conn,2/22/2014,Nov,Nov Octos,WCSU MM,BC PS,"NEG																				 	BC PS on a 								3-0"
CEDA East Regionals at West Conn,2/22/2014,Nov,Nov Quarters,USMA BS,BC PS,"NEG																				 	BC PS on a 								2-1"
CEDA East Regionals at West Conn,2/22/2014,Nov,Nov Semis,Liberty CR,BC PS,"AFF																				 	BC PS on a 								2-1"
CEDA East Regionals at West Conn,2/22/2014,Nov,Nov Finals,BC PS,NYU CK,"NEG																				 	NYU CK on a 								2-1"
IC Spring  Sydney Landon IV,2/8/2014,Open,1,Cornell HP,CUNY AC,AFF
IC Spring  Sydney Landon IV,2/8/2014,Open,5,Cornell MK,CUNY DL,NEG
IC Spring  Sydney Landon IV,2/8/2014,Nov,semis,Cornell RK,NYU HM,"AFF																				 	Cornell RK on a 								3-0"
IC Spring  Sydney Landon IV,2/8/2014,Open,Sem,Cornell HP,CUNY AC,"AFF																				 	Cornell HP on a 								3-0"
Rutgers Newark Debate Tournament,1/24/2014,Open,rnd1,CUNY AS,UniSta HH,AFF
Rutgers Newark Debate Tournament,1/24/2014,Open,nd2,WesCon AE,UniSta BS,NEG
Rutgers Newark Debate Tournament,1/24/2014,Open,rnd3,CUNY\Rutger MW,UniSta CH,AFF
Rutgers Newark Debate Tournament,1/24/2014,Open,rnd4,NewYor CI,UniSta LS,NEG
Rutgers Newark Debate Tournament,1/24/2014,Nov,6-Nov,UniSta OR,CUNY DJ,AFF
Rutgers Newark Debate Tournament,1/24/2014,Open,qurts,,UniSta HH,"NEG																				 	CUNY AS on a 								3-0"
Rutgers Newark Debate Tournament,1/24/2014,Open,semis,UniSta LS,CUNY AS,"NEG																				 	CUNY AS on a 								3-0"
Kathryn Klassic Winter tournament at California State Universit,1/7/2014,OD,OD 1,Cornell PR,Rutgers-Newark RS,NEG
Kathryn Klassic Winter tournament at California State Universit,1/7/2014,OD,OD 2,Sacramento State GH,Oklahoma BC,NEG
Kathryn Klassic Winter tournament at California State Universit,1/7/2014,ND,ND 3,NYU HM,Cal State Fullerton DL,AFF
Kathryn Klassic Winter tournament at California State Universit,1/7/2014,OD,OD 4,Liberty CE,Harvard NB,NEG
Kathryn Klassic Winter tournament at California State Universit,1/7/2014,OD,OD 5,Pepperdine CH,Michigan HK,NEG
Kathryn Klassic Winter tournament at California State Universit,1/7/2014,OD,OD 6,NYU ZD,Puget Sound Qu,NEG
2014 USC Alan Nichols Debate Tournament,1/3/2014,Var,1,Michigan HK,Harvard BS,NEG
2014 USC Alan Nichols Debate Tournament,1/3/2014,Var,2,Oklahoma LM,NYU DZ,AFF
2014 USC Alan Nichols Debate Tournament,1/3/2014,Var,3,George Mason KL,Concordia College BS,NEG
2014 USC Alan Nichols Debate Tournament,1/3/2014,Var,4,Arizona State MW,Liberty BM,NEG
2014 USC Alan Nichols Debate Tournament,1/3/2014,Var,5,Louisville BL,George Mason BW,AFF
2014 USC Alan Nichols Debate Tournament,1/3/2014,JV,6,Fresno State BH,CSU Northridge TG,NEG
Jersey Shore Invitational at Monmouth University,11/23/2013,Nov,1-Nov,UniSta BS,Monmou HT,AFF
Jersey Shore Invitational at Monmouth University,11/23/2013,JV,JV 2,BosCol CW,UniSta MS,NEG
Jersey Shore Invitational at Monmouth University,11/23/2013,Open,OPEN 3,UniSta BS,NewYor WZ,AFF
Jersey Shore Invitational at Monmouth University,11/23/2013,Nov,4-Nov,Monmou KP,BosCol PS,NEG
Jersey Shore Invitational at Monmouth University,11/23/2013,Open,OPEN 5,UniSta AH,New DT,NEG
Jersey Shore Invitational at Monmouth University,11/23/2013,Open,OPEN 6,CUNY JM,UniSta LS,AFF
Jersey Shore Invitational at Monmouth University,11/23/2013,Nov,NOV QUART,WesVir FP,NewYor CW,"AFF																				 	WesVir FP on a 								3-0"
Jersey Shore Invitational at Monmouth University,11/23/2013,JV,JV FINALS,BosCol CT,UniSta MS,"NEG																				 	UniSta MS on a 								3-0"
Jersey Shore Invitational at Monmouth University,11/23/2013,Nov,NOV FINAL,BosCol PS,UniSta BS,"NEG																				 	UniSta BS on a 								3-0"
Clarion University Autumn Debate Tournament,11/1/2013,Novice,1-Nov,USMA DR,JMU PW,NEG
Clarion University Autumn Debate Tournament,11/1/2013,Novice,2-Nov,USMA OS,Capital CL,AFF
Clarion University Autumn Debate Tournament,11/1/2013,Open,Op3,Liberty AB,Wayne State NW,NEG
Clarion University Autumn Debate Tournament,11/1/2013,Novice,4-Nov,Liberty KP,George Mason GO,NEG
Clarion University Autumn Debate Tournament,11/1/2013,Novice,5-Nov,Liberty JR,JMU BH,NEG
Clarion University Autumn Debate Tournament,11/1/2013,JV,JV6,JMU HP,New School DT,NEG
Clarion University Autumn Debate Tournament,11/1/2013,Novice,Nov Octo,BostonColleg PS,Liberty AB,"NEG																				 	Liberty AB on a 								3-0"
Clarion University Autumn Debate Tournament,11/1/2013,Open,OpQua,JMU CP,Liberty BM,"NEG																				 	Liberty BM on a 								3-0"
2013 West Point Debate Tournament,10/18/2013,JV,JV Round 1,GMU JW,CUNY AL,NEG
2013 West Point Debate Tournament,10/18/2013,Novice,Novice Round 2,Vandy JeRo,BC CM,AFF
2013 West Point Debate Tournament,10/18/2013,Novice,Novice Round 4,Monmouth RT,Vandy DH,AFF
2013 West Point Debate Tournament,10/18/2013,JV,JV Round 5,Rutgers EW,Cornell LR,AFF
2013 West Point Debate Tournament,10/18/2013,Novice,Novice Round 6,Liberty CP,Cornell RR,NEG
2013 West Point Debate Tournament,10/18/2013,JV,JV Octos,GMU MT,Rutgers JJ,"NEG																				 	Rutgers JJ on a 								2-1"
2013 West Point Debate Tournament,10/18/2013,JV,JV Quarters,Liberty MW,Rutgers CT,"NEG																				 	Rutgers CT on a 								3-0"
2013 West Point Debate Tournament,10/18/2013,JV,JV Semis,NYU KW,Liberty CS,"NEG																				 	Liberty CS on a 								3-0"
2013 West Point Debate Tournament,10/18/2013,JV,JV Finals,Rutgers CT,Liberty CS,"NEG																				 	Liberty CS on a 								2-1"
Kentucky College Tournament,10/5/2013,Opn,Rd 1,"California, Berkeley SM",Liberty CE,AFF
Kentucky College Tournament,10/5/2013,Opn,Rd 2,Louisville KT,Missouri - Kansas City CP,NEG
Kentucky College Tournament,10/5/2013,Opn,Rd 3,Liberty CS,Georgia Tech JS,NEG
Kentucky College Tournament,10/5/2013,Opn,Rd 4,United States Military BS,Kansas State MK,AFF
Kentucky College Tournament,10/5/2013,Opn,Rd 5,George Washington AS,James Madison GP,AFF
Kentucky College Tournament,10/5/2013,Opn,Rd 6,Louisville BL,Missouri - Kansas City FA,NEG
Kentucky College Tournament,10/5/2013,Opn,Rd 7,Indiana PS,James Madison LM,NEG
Kentucky College Tournament,10/5/2013,Opn,Rd 8,Liberty CC,Cal State Fullerton GR,NEG
U of Rochester Brad Smith Debate Tournament,9/28/2013,open,Round 1 O,Navy JR,NewYor GZ,NEG
U of Rochester Brad Smith Debate Tournament,9/28/2013,nov,Round 2 N,CUNY\Vermon JL,Navy KS,AFF
U of Rochester Brad Smith Debate Tournament,9/28/2013,nov,Round 3 N,Vermon MS,NewYor KS,NEG
U of Rochester Brad Smith Debate Tournament,9/28/2013,jv,Round 4 JV,CUNY DJ,NewYor EI,AFF
U of Rochester Brad Smith Debate Tournament,9/28/2013,open,Round 6 O,Vermon BB,NewYor DD,AFF
U of Rochester Brad Smith Debate Tournament,9/28/2013,jv,Semis JV,Cornel LR,NewYor EI,"NEG																				 	Cornel LR on a 								2-1"
2013 NE Regional Opener,9/20/2013,Open,O1,USMA BS,Bard DT,AFF
2013 NE Regional Opener,9/20/2013,JV,JV2,Cornell RW,Rutgers CT,NEG
2013 NE Regional Opener,9/20/2013,Open,O3,WVU BO,USMA HM,AFF
2013 NE Regional Opener,9/20/2013,Novi,N4,JCU GW,Cornell KR,NEG
2013 NE Regional Opener,9/20/2013,JV,JV5,USMA MO,Bard CK,NEG
2013 NE Regional Opener,9/20/2013,JV,JV6,Wilkes NW,WVU FP,NEG
2013 NE Regional Opener,9/20/2013,Novi,NOV OCTS,USMA DR,Cornell KK,"NEG																				 	Cornell KK on a 								2-1"
2013 NE Regional Opener,9/20/2013,Open,OPEN QUART,GMU BW,USMA LS,"AFF																				 	GMU BW on a 								3-0"
2013 NE Regional Opener,9/20/2013,JV,JV SEMIS,New DT,Rutgers CT,"NEG																				 	New DT on a 								2-1"
2013 NE Regional Opener,9/20/2013,JV,JV FINALS,GMU MT,New DT,"AFF																				 	GMU MT on a 								3-0"
CEDA Nationals at Idaho State University,3/22/2013,0,r1,135,Los Rios RS,AFF
CEDA Nationals at Idaho State University,3/22/2013,0,r2,JamMad BL,West Virginia OP,AFF
CEDA Nationals at Idaho State University,3/22/2013,0,r3,JamMad MM,UniSta OdHo,AFF
CEDA Nationals at Idaho State University,3/22/2013,0,r4,NewYor FI,JamMad BM,NEG
CEDA Nationals at Idaho State University,3/22/2013,0,r5,117,OP,AFF
CEDA Nationals at Idaho State University,3/22/2013,0,r6,UniSta MR,Los Rios JL,NEG
CEDA Nationals at Idaho State University,3/22/2013,0,r8,116,West Virginia JR,AFF
CEDA Nationals at Idaho State University,3/22/2013,0,Qtrs,Towson WH,JamMad BL,"AFF																				 	Towson WH on a 								3-0"
JV/Novice Nationals,3/2/2013,JV,J1,JMU GM,Liberty GH,NEG
JV/Novice Nationals,3/2/2013,JV,J2,USMA HH,Liberty AB,NEG
JV/Novice Nationals,3/2/2013,JV,J3,Rutgers BJ,JMU PY,AFF
JV/Novice Nationals,3/2/2013,JV,J4,Liberty CM,USMA BS,NEG
JV/Novice Nationals,3/2/2013,JV,J5,USMA MS,Liberty CT,NEG
JV/Novice Nationals,3/2/2013,JV,J7,USMA CH,West VA OP,AFF
JV/Novice Nationals,3/2/2013,JV,JO,JMU LM,West VA OP,"AFF																				 	JMU LM on a 								3-0"
CEDA East Regionals,2/23/2013,JV,JV 1,USMA HH,UVM CB,NEG
CEDA East Regionals,2/23/2013,NOV,Novice 3,WVU BP,USMA LS,NEG
CEDA East Regionals,2/23/2013,JV,JV 4,Cornell YG,USMA OO,AFF
CEDA East Regionals,2/23/2013,JV,JV 5,USMA MS,Wilkes MW,AFF
CEDA East Regionals,2/23/2013,JV,Semis,UVM CB,WCSU AB,"NEG																				 	WCSU AB on a 								3-0"
Jersey Shore Invitational  Monmouth,1/26/2013,Novice,Novice 1,USMA MR,GMU NT,NEG
Jersey Shore Invitational  Monmouth,1/26/2013,JV,JV 3,LibUni TA,JohCar DM,AFF
Jersey Shore Invitational  Monmouth,1/26/2013,Open,OPEN 4,BosCol FH,GeoMas MW,AFF
Jersey Shore Invitational  Monmouth,1/26/2013,JV,JV 5,LibUni GH,UniSta OO,AFF
Jersey Shore Invitational  Monmouth,1/26/2013,JV,JV 6,JohCar HM,WesVir OP,NEG
Jersey Shore Invitational  Monmouth,1/26/2013,Novice,Novice Quart,WVU AB,LIBER MS,"NEG																				 	LIBER MS on a 								3-0"
William R DeMougeot Debates  UNT,1/9/2013,Open,1,UMKC AB,KSU BM,AFF
William R DeMougeot Debates  UNT,1/9/2013,Open,2,Towson HW,JamesMadison BL,NEG
William R DeMougeot Debates  UNT,1/9/2013,Open,3,UTSA MX,UMKC BS,NEG
William R DeMougeot Debates  UNT,1/9/2013,Open,6,UTSA NS,WestGeorgia GM,NEG
William R DeMougeot Debates  UNT,1/9/2013,Open,Doubles,Towson HW,UMKC BS,"NEG																				 	UMKC BS on a 								3-0"
William R DeMougeot Debates  UNT,1/9/2013,Open,Octas,UMKC BS,Towson JR,"NEG																				 	Towson JR on a 								3-0"
Fear and loathing in Dallas,1/5/2013,OPEN,1,UCO BY,UTSA NS,NEG
Fear and loathing in Dallas,1/5/2013,OPEN,2,UTSA MX,GSU FS,AFF
Fear and loathing in Dallas,1/5/2013,OPEN,3,WestGa GM,JamMad BL,AFF
Fear and loathing in Dallas,1/5/2013,OPEN,4,WakeForest DL,UTSA CR,AFF
Fear and loathing in Dallas,1/5/2013,OPEN,5,UMKC AG,BosCol KM,AFF
Fear and loathing in Dallas,1/5/2013,JV,JV Octas,KState MT,Houston AK,"NEG																				 	KState MT on a 								2-1"
Franklin R. Shirley Classic at Wake Forest University,11/8/2012,-,1,Stanford LS,Cornell PW,NEG
Franklin R. Shirley Classic at Wake Forest University,11/8/2012,-,2,JMU BL,UTSA NS,AFF
Franklin R. Shirley Classic at Wake Forest University,11/8/2012,-,7,Bard DJ,Louisville VW,NEG
Huber Debates 2012 Univ of Vermont,11/3/2012,Open,Open Round 1,Bard DJ,Cornell LP,NEG
Huber Debates 2012 Univ of Vermont,11/3/2012,Open,Open Round 2,Cornell GM,USMA AH,NEG
Huber Debates 2012 Univ of Vermont,11/3/2012,Open,Open Round 3,Cornell FF,NS FT,AFF
Huber Debates 2012 Univ of Vermont,11/3/2012,Novice,Novice Round 4,Cornell HX,USMA JP,NEG
Huber Debates 2012 Univ of Vermont,11/3/2012,Open,Open Round 5,Cornell RW,USMA BS,NEG
Huber Debates 2012 Univ of Vermont,11/3/2012,Open,Open Round 6,USMA MS,Bard JT,NEG
Huber Debates 2012 Univ of Vermont,11/3/2012,Open,Open Quarters,Cornell LP,USMA CH,"AFF																				 	Cornell LP on a 								3-0"
West Point Debate Tournament,10/19/2012,JV,JV Round 1,WVU OP,Liberty CM,NEG
West Point Debate Tournament,10/19/2012,JV,JV Round 2,Liberty CW,JamMad GY,AFF
West Point Debate Tournament,10/19/2012,Novice,Novice Round 3,Cornell AR,JamMad AT,NEG
West Point Debate Tournament,10/19/2012,JV,JV Round 5,Cornell CG,Liberty EH,NEG
West Point Debate Tournament,10/19/2012,Novice,Novice Round 6,Liberty CC,New School BG,AFF
West Point Debate Tournament,10/19/2012,Open,Open Octos,Towson JR,Liberty AB,"AFF																				 	Towson JR on a 								2-1"
West Point Debate Tournament,10/19/2012,Open,Open Quarters,JamMad BL,Towson HW,"NEG																				 	Towson HW on a 								3-0"
West Point Debate Tournament,10/19/2012,JV,JV Semis,Rutgers CJ,USMA\CUNY HT,"AFF																				 	Rutgers CJ on a 								3-0"
NE Regional Opener,9/21/2012,,1,JCU HM,GMU HD,AFF
NE Regional Opener,9/21/2012,,2,GMU BB,USMA MS,NEG
NE Regional Opener,9/21/2012,,3,USMA HT,JCU MS,NEG
NE Regional Opener,9/21/2012,,5,CUNY GC,GMU MD,NEG
NE Regional Opener,9/21/2012,,6,CornelCK,RutgerVH,NEG
NE Regional Opener,9/21/2012,,Quarters,,GMU MD,"GMU MD on a 								2-0"
NE Regional Opener,9/21/2012,,Semis,WVU BP,JCU HM,"NEG																				 	JCU HM on a 								3-0"
